iter	Passed	Remaining
0	1172	2343338
1	2749	2746811
2	4223	2811641
3	5621	2805093
4	7004	2794893
5	8454	2809768
6	9893	2816833
7	11304	2814884
8	12693	2808190
9	14134	2812717
10	15612	2823022
11	17087	2830867
12	18604	2843594
13	20214	2867535
14	21794	2884190
15	23221	2879526
16	24585	2867841
17	26045	2867889
18	27476	2864765
19	28972	2868294
20	30539	2877956
21	32076	2883927
22	33514	2880771
23	34902	2873669
24	36407	2876164
25	37914	2878574
26	39412	2880029
27	40863	2877942
28	42378	2880302
29	44265	2906749
30	45817	2910138
31	47305	2909284
32	48720	2904030
33	50178	2901506
34	51727	2904141
35	53262	2905769
36	54789	2906783
37	56246	2904101
38	57765	2904546
39	59403	2910752
40	61014	2915325
41	62570	2916989
42	64042	2914687
43	65592	2915895
44	66993	2910476
45	68567	2912618
46	69994	2908506
47	71570	2910524
48	73094	2910357
49	74513	2906038
50	76031	2905586
51	77594	2906793
52	79080	2905105
53	80783	2911213
54	82465	2916289
55	83916	2913094
56	85446	2912664
57	87131	2917413
58	88675	2917282
59	90139	2914519
60	91668	2913845
61	93207	2913490
62	94789	2914403
63	96536	2920234
64	98128	2921195
65	99756	2923167
66	101231	2920600
67	102795	2920615
68	104397	2921619
69	105822	2917675
70	107219	2913039
71	108691	2910527
72	110296	2911517
73	111797	2909756
74	113377	2910023
75	115053	2912679
76	116560	2910974
77	118159	2911573
78	119609	2908468
79	121191	2908590
80	122671	2906255
81	124250	2906239
82	125831	2906261
83	127383	2905561
84	129045	2907314
85	130550	2905505
86	132141	2905583
87	133692	2904771
88	135306	2905278
89	137023	2907939
90	138637	2908345
91	140092	2905395
92	141741	2906453
93	143346	2906579
94	144824	2904114
95	146461	2904828
96	148041	2904366
97	149604	2903550
98	151082	2901090
99	152555	2898555
100	153975	2895045
101	155652	2896363
102	157300	2897086
103	158854	2896039
104	160464	2896000
105	161925	2893279
106	163474	2892126
107	165110	2892485
108	166665	2891421
109	168277	2891307
110	169841	2890370
111	171416	2889591
112	173054	2889853
113	174564	2887978
114	176074	2886097
115	177586	2884251
116	179166	2883502
117	180645	2881146
118	182250	2880783
119	183804	2879604
120	185575	2881782
121	187293	2883085
122	188993	2884064
123	190613	2883795
124	192123	2881856
125	193629	2879860
126	195217	2879081
127	196846	2878882
128	198519	2879297
129	200103	2878414
130	201623	2876591
131	203181	2875321
132	204726	2873871
133	206322	2873111
134	207903	2872143
135	209591	2872639
136	211163	2871515
137	212605	2868638
138	214123	2866793
139	215842	2867621
140	217551	2868285
141	219060	2866297
142	220900	2868615
143	222539	2868286
144	224159	2867691
145	225883	2868417
146	227479	2867477
147	229220	2868351
148	231038	2870152
149	232767	2870800
150	234179	2867531
151	235925	2868353
152	237409	2865979
153	238859	2863215
154	240454	2862180
155	242224	2863214
156	243894	2863041
157	245484	2861917
158	247150	2861661
159	248676	2859777
160	250373	2859856
161	252046	2859640
162	253717	2859377
163	255247	2857530
164	257051	2858723
165	258746	2858676
166	260296	2857027
167	261857	2855494
168	263795	2858041
169	265507	2858109
170	267262	2858613
171	269089	2859863
172	270681	2858587
173	271079	2844777
174	272434	2841106
175	273274	2832121
176	275003	2832380
177	276815	2833468
178	278274	2830937
179	279878	2829883
180	281658	2830587
181	283254	2829429
182	285142	2831171
183	287001	2832580
184	287472	2820339
185	288062	2809380
186	289925	2810877
187	291766	2812129
188	293466	2811994
189	295293	2813061
190	295888	2802415
191	297556	2801990
192	299357	2802796
193	301327	2805138
194	303099	2805611
195	304895	2806279
196	306665	2806686
197	308587	2808457
198	310323	2808506
199	311826	2806434
200	313641	2807165
201	315110	2804798
202	317023	2806360
203	318643	2805308
204	320282	2804420
205	321880	2803169
206	322426	2792807
207	324202	2793129
208	325984	2793484
209	327353	2790296
210	328695	2786901
211	330547	2787827
212	332179	2786875
213	333760	2785498
214	335505	2785474
215	336948	2782940
216	338285	2779551
217	340095	2780044
218	341727	2779067
219	343265	2777328
220	344903	2776391
221	346515	2775242
222	348126	2774080
223	349934	2774484
224	351473	2772731
225	353072	2771464
226	354756	2770853
227	356590	2771398
228	358358	2771409
229	360092	2771146
230	361776	2770490
231	363231	2768074
232	364774	2766340
233	366273	2764269
234	367647	2761265
235	369333	2760609
236	370876	2758886
237	371749	2752197
238	373368	2751057
239	375085	2750627
240	376721	2749599
241	378574	2750139
242	379979	2747425
243	380238	2736469
244	381913	2735744
245	383521	2734541
246	385159	2733539
247	386982	2733843
248	388665	2733144
249	390272	2731908
250	391779	2729972
251	393306	2728175
252	395028	2727727
253	396606	2726278
254	398331	2725836
255	399696	2722932
256	401484	2722910
257	403092	2721657
258	404763	2720822
259	406448	2720076
260	407849	2717434
261	409582	2716999
262	411516	2717886
263	413216	2717210
264	414725	2715280
265	416208	2713175
266	418017	2713200
267	419631	2711947
268	421433	2711899
269	423128	2711157
270	424756	2709979
271	426523	2709680
272	428118	2708278
273	429775	2707269
274	431426	2706220
275	432720	2702935
276	434282	2701333
277	435701	2698841
278	437292	2697422
279	438690	2694810
280	440588	2695275
281	442055	2693092
282	443827	2692764
283	445357	2690965
284	446844	2688908
285	448569	2688278
286	450362	2688049
287	451895	2686264
288	453568	2685315
289	455249	2684404
290	456906	2683344
291	458656	2682828
292	460412	2682332
293	462065	2681234
294	463767	2680419
295	465205	2678075
296	466916	2677301
297	468817	2677610
298	470463	2676449
299	472011	2674732
300	473705	2673841
301	475609	2674121
302	477364	2673558
303	478956	2672075
304	480631	2671050
305	482247	2669698
306	483775	2667856
307	485242	2665684
308	486693	2663427
309	488676	2664073
310	490210	2662268
311	491991	2661799
312	493718	2661033
313	495223	2659065
314	496720	2657059
315	498214	2655041
316	499723	2653103
317	501236	2651194
318	502842	2649775
319	504426	2648239
320	506014	2646722
321	507750	2645979
